ArticleID	time	title	summary	link	source	StoryID
60	1488042900	woman charged with dog offence after three year old boys death	a woman has been charged with owning a dangerously out of control dog following the death of a three year old boy in august number jade dunne number of parker way has been released on bail to appear at magistrates court on number march dexter neal died after he was bitten at home in essex on number august last year	https://uk.news.yahoo.com/woman-charged-dog-offence-boys-death-151700519.html	YahooUK	269
61	1488039960	squatters evicted over buckingham palace security risk	squatters who were branded a possible risk to the queens security have been evicted in a stealth mode operation the group were living in a seven storey building just metres away from buckingham palace the occupiers who claim to be part of the autonomous nation of anarchist libertarians were removed at around number on saturday after the buildings owners filed a submission to the high court	https://uk.news.yahoo.com/squatters-braced-eviction-over-buckingham-palace-security-043300072.html	YahooUK	285
62	1488055339	police shoot man who drove into people in german city of heidelberg leaving one dead and two injured	a man drove a car into pedestrians in the german city of heidelberg on saturday killing one person and injuring two others then fled on foot brandishing a knife before being intercepted and shot by police officers dramatic video footage posted on twitter showed the alleged attacker surrounded by officers with their guns drawn who shouted orders at him and then opened fire after a tense standoff on a footpath next to a restaurant	https://uk.news.yahoo.com/police-shoot-man-drove-people-172211948.html	YahooUK	298
63	1488047353	germany attack three injured as car ploughs into pedestrian area in heidelberg	three people have been injured after a man drove a car into pedestrians in the german city of heidelberg police said the man fled the scene before being tracked down and shot by officers one of the three people hit outside a bakery on saturday afternoon was seriously injured police spokeswoman anne baas said according to the associated press the man who is believed to have been carrying a knife got out of his rental car another police spokesman told n tv television he was intercepted by a police patrol and shot by an officer following a short standoff he has been taken to a hospital there was no immediate word on the mans possible motives or where he came from said said a terrorist background is not suspected and the man appears to have acted alone the country has been on high alert after an attack in december which saw number people killed when a lorry was driven into a busy christmas market in berlin this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/25/germany-attack-heidelberg-car-pedestrians_n_15008710.html?utm_hp_ref=uk&ir=UK	HuffPostUK	298
64	1488040864	britain first telford march sees paul golding and not many others show up	function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number despite having a following of number million it appears outside in the real world away from paid promotion and exploiting the memory of lee britain first is still far far from even a minor force in uk politics despite months of promotion the far right groups much hyped telford march had to be postponed by an hour until more patriots arrived the march is being delayed until number its looking like theyre waiting for people telford number mat star february number number in the end it drew a grand total of approximately number according to campaign group hope not hate it wasnt for lack of trying they marked the rallying point with flags there were many many flags britain first getting ready to march everyone gets to hold number number flags if they can to make it look bigger than it is telford number hope not hate february number number and music they have their own security patrolling up and down patriotic music still playing flags still waving mat star february number number and of course they had the big guns leader paul golding and his deputy there flags up as rule britannia plays from the van speakers someone tried chanting britain first but it didnt take telford number mat star february number number they even had a convincing donald trump yet despite all this only a small crowd gathered to protest grooming gangs and according to the shropshire star listen to deputy leader say muslims should go back to the desert where they belong and take their backwards ideology with them adding to the groups woes an anti semitic an polish priest due to speak at the event was detained at airport bad for britain first jew hating priest has been held and prevented from entering the country telford hope not hate february number number number has been described as a fanatical hate preacher by anti racism campaigners in poland and has been suspended by his local catholic church on twitter described as a polish patriot polish patriot will be joining our protest in telford on number february come and stand with us against muslim grooming gangs february number number the march attracted a heavy police presence as well as a counter march by anti fascists one of whom threw a brick at the marchers no one was seriously injured and a man was arrested a witness told the post uk now outside darby house in telford number john february number number the telford march follows is the latest in a long succession of poorly attended events organised by the group last years big london rally held right in the heartland of their main base of support number of the mayoral election vote drew a crowd of number this has not dampened their rhetoric though paul golding issued an extraordinary threat of a day of reckoning for his enemies in his first public appearance since coming out of jail last month golding had only been out of a prison for a week having been jailed in december for breaching a court order not to enter a mosque in the video golding says his time in prison made him more bitter and he threatens journalists and politicians who have committed crimes against our nation hope not hate which fights the far right in britain warned the video was a chilling threat from a group that was already volatile function e undefined track e function if player if object commercial video a o commercial and category if a video package c sponsorship number commercial video package a c i player else t function t number number this feed and its contents are the property of the post uk and use is subject to our terms it may be used for personal consumption but may not be distributed on a	http://www.huffingtonpost.co.uk/2017/02/25/britain-first-telford-march_n_15007778.html?utm_hp_ref=uk&ir=UK	HuffPostUK	299
65	1488042933	sadiq khan nationalism warning angers	london mayors call for unity overshadows leaders speech at scottish labour conference	http://www.ft.com/cms/s/0/840cb816-fb76-11e6-96f8-3700c5664d30.html?ftcamp=published_links%2Frss%2Fhome_uk%2Ffeed%2F%2Fproduct	FTUK	266
66	1488070834	yorkshire ripper peter sutcliffe clashes with child killer huntley in prison	yorkshire ripper peter sutcliffe has had a bust up with huntley in prison the mirror reported branded the murderer a child killing b d before telling him to p off brother carl told the mirror peter thinks hes a higher class of killer than huntley but a is a murderer in my eyes	https://www.thesun.co.uk/news/2956727/yorkshire-ripper-peter-sutcliffe-clashes-with-child-killer-ian-huntley-in-prison/	SunUK	297
67	1488058789	massive number long humpback whale spotted off devon coast sparking fears creature could be in trouble but marine experts insist animal is fine	the unusual sight of a massive humpback whale repeatedly near the devon coast in the past few days sparked fears the animal could be in danger the number creature first appeared off sands on thursday and has been spotted again in the same location this morning hundreds of people descended on and	https://www.thesun.co.uk/news/2955975/humpback-whale-slapton-devon-sightings-2955975/	SunUK	301
68	1488058530	squatters in pound number mansion yards from buckingham palace calling themselves anal are evicted after posing security risk to queens residence	squatters who claimed a pound number mansion right next to buckingham palace have been evicted after being labelled a security risk to the queen the activists who called themselves anal or the autonomous nation of anarchist libertarians were branded a threat due to how close were to the monarchs london residence on friday the owner of the property filed	https://www.thesun.co.uk/news/2953014/squatters-in-17m-mansion-yards-from-buckingham-palace-calling-themselves-a-n-a-l-are-evicted-after-posing-security-risk-to-queens-residence/	SunUK	285
69	1488048399	britain first supporters clash with anti fascist protesters in telford as cops arrest three for disorder	three men were arrested when britain first members clashed with anti fascist protesters today in a midlands town more than number members of the far right group including one in a donald trump mask marched through telford a massive police presence was visible as a counter unite against fascism demonstration was staged close to the britain	https://www.thesun.co.uk/news/2955177/britain-first-telford-unite-against-fascism-disorder/	SunUK	299
70	1488042059	lowery waves to crowds as he leads out his beloved sunderland after family reveal new cancer blow	brave cancer kid lowery waved to crowds as he led out his beloved sunderland following this weeks devastating revelation he is battling a new tumour football fan was carried on to the pitch by hero as the club continued its support of the youngsters battle who is no stranger to	https://www.thesun.co.uk/news/2954665/bradley-lowery-waves-to-crowds-as-he-leads-out-his-beloved-sunderland-after-family-reveal-new-cancer-blow/	SunUK	302
71	1488067260	sadiq khan infuriates nicola sturgeon as he compares nationalism to racism	london mayor sadiq khan sparked a furious row yesterday after comparing nationalism to racism as he stepped into the independence debate	http://feedproxy.google.com/~r/daily-express-uk-news/~3/asO02ybJG4s/sadiq-khan-nationalism-racism-row-nicola-sturgeon-labour-spring-conference	DailyExpressUK	266
72	1488061800	yorkshire ripper peter sutcliffe in face to face prison bust up with child killer huntley	astonishing confrontation between two of most evil men responsible for the deaths of at least number people	http://www.mirror.co.uk/news/uk-news/yorkshire-ripper-peter-sutcliffe-face-9917486	MirrorUK	297
